img_id,data_point
393,1691583343646
443,1691583344470
406,1691583343943
236,1691583342919
98,1691583348134
137,1691583348790
172,1691583344007
20,1691583339190
65,1691583339422
58,1691583348063
526,1691583345719
353,1691583339911
316,1691583339751
483,1691583338854
502,1691583341534
547,1691583339087
196,1691583343342
81,1691583341231
39,1691583341167
297,1691583340935
377,1691583347830
332,1691583346815
467,1691583340743
422,1691583347703
41,1691583341694
113,1691583345190
587,1691583348462
156,1691583345654
212,1691583347039
257,1691583346213
498,1691583341534
348,1691583343447
465,1691583346975
420,1691583339911
210,1691583341101
255,1691583346879
111,1691583348527
585,1691583338927
154,1691583348790
43,1691583342127
169,1691583340935
268,1691583347342
83,1691583341862
500,1691583341335
194,1691583342886
375,1691583344134
330,1691583346447
458,1691583347206
388,1691583347271
524,1691583348790
561,1691583345559
108,1691583342623
481,1691583348359
439,1691583346815
351,1691583340079
314,1691583339582
441,1691583343943
404,1691583341167
329,1691583346213
391,1691583347342
22,1691583339422
67,1691583347966
135,1691583345654
170,1691583347039
519,1691583342255
234,1691583340439
271,1691583339687
478,1691583348295
355,1691583347439
310,1691583347800
485,1691583339087
149,1691583348295
598,1691583341631
8,1691583346023
520,1691583348295
565,1691583342159
248,1691583346975
189,1691583339582
558,1691583345790
275,1691583339582
26,1691583348063
63,1691583339254
288,1691583346447
131,1691583344703
174,1691583346383
395,1691583344103
445,1691583343278
400,1691583340511
368,1691583341006
115,1691583344703
581,1691583339023
150,1691583348063
47,1691583341464
214,1691583344239
251,1691583340671
539,1691583345031
309,1691583343015
461,1691583343910
424,1691583347206
371,1691583346511
334,1691583340935
419,1691583339847
87,1691583341398
504,1691583344630
541,1691583348663
190,1691583340439
128,1691583341830
291,1691583347143
373,1691583346614
336,1691583340806
78,1691583345494
293,1691583340806
506,1691583344862
543,1691583348462
192,1691583347703
85,1691583342063
216,1691583346383
253,1691583341006
45,1691583342095
117,1691583345919
152,1691583342623
463,1691583346815
426,1691583343414
133,1691583345855
176,1691583344239
24,1691583339023
61,1691583347966
232,1691583339982
277,1691583340311
447,1691583347470
402,1691583340575
397,1691583346614
487,1691583342487
357,1691583343214
312,1691583340278
522,1691583342456
567,1691583341599
19,1691583338991
331,1691583344399
374,1691583346743
459,1691583343278
389,1691583343214
168,1691583341135
294,1691583341006
269,1691583340375
82,1691583342127
544,1691583348199
195,1691583347638
501,1691583342023
211,1691583346975
579,1691583347998
584,1691583339023
155,1691583348590
110,1691583348134
42,1691583341896
499,1691583341759
349,1691583340375
421,1691583340047
464,1691583344007
66,1691583342519
23,1691583339190
171,1691583346879
134,1691583344630
518,1691583339087
270,1691583340311
235,1691583347638
405,1691583346511
440,1691583344007
390,1691583343479
480,1691583342487
438,1691583346975
315,1691583339687
350,1691583339879
